age,dc_key,dispatch_date_time,geometry,hispanic,location_block,neighborhood,police_district,race,sex,time_offset,weapon,year,zip_code
27,201539013479,2015-02-20 19:00:00+00:00,POINT (2695972.135229729 257570.8344282965),0,1500 BLOCK W BUTLER ST,Tioga,39.0,Black,Male,288385200.0,firearm,2015,19140.0
39,201539013240,2015-02-20 01:00:00+00:00,POINT (2689955.031279519 252439.7711285629),0,2600 BLOCK W SILVER ST,Allegheny West,39.0,Black,Male,288320400.0,firearm,2015,19132.0
44,201535013290,2015-02-19 21:00:00+00:00,POINT (2704247.346167399 265400.5870043304),1,5300 BLOCK MASCHER ST,Olney,35.0,White,Male,288306000.0,firearm,2015,19120.0
25,201512012883,2015-02-19 11:00:00+00:00,POINT (2677044.263451077 231724.4337997935),0,1300 BLOCK S 53RD ST,Kingsessing,12.0,Black,Male,288270000.0,firearm,2015,19143.0
29,201514012003,2015-02-18 03:00:00+00:00,POINT (2691526.272785675 275344.131164629),0,6300 BLOCK STENTON AVE,East Mount Airy,14.0,Black,Male,288154800.0,knife,2015,19138.0
24,201415120630,2015-02-18 02:00:00+00:00,POINT (2722987.686678722 261181.4978659796),0,6100 BLOCK VANDIKE ST,Wissinoming,15.0,White,Male,288151200.0,knife,2015,19135.0
51,201512008973,2015-02-06 23:00:00+00:00,POINT (2678863.372317475 230958.123266133),0,1400 BLOCK S PAXON ST,Southwest Schuylkill,12.0,Black,Male,287190000.0,firearm,2015,19143.0
22,201514007662,2015-02-02 20:00:00+00:00,POINT (2690274.387368858 269755.8140856799),0,5900 BLOCK MAGNOLIA ST,Germantown - Morton,14.0,Black,Male,286833600.0,firearm,2015,19144.0
19,201535007339,2015-01-29 01:00:00+00:00,POINT (2697927.452795682 267070.7648260155),0,200 BLOCK W CLARKSON AVE,Logan,35.0,Black,Male,286419600.0,firearm,2015,19141.0
36,201512006765,2015-01-28 16:00:00+00:00,POINT (2673505.170786479 221809.6631727992),0,2600 BLOCK MUHFELD ST,Elmwood,12.0,Black,Female,286387200.0,firearm,2015,19142.0
30,201525006916,2015-01-26 18:00:00+00:00,POINT (2699726.216777958 251288.4949048827),1,2700 BLOCK N 05TH ST,Fairhill,25.0,White,Male,286221600.0,firearm,2015,19133.0
34,201525006239,2015-01-24 05:00:00+00:00,POINT (2705176.784931947 259247.8980396056),1,4200 BLOCK MACALESTER ST,Feltonville,25.0,White,Male,286002000.0,firearm,2015,19120.0
17,201522006586,2015-01-23 18:00:00+00:00,POINT (2692025.924346989 247888.7396342779),0,2000 BLOCK N LAMBERT ST,North Central,22.0,Black,Male,285962400.0,firearm,2015,19121.0
38,201501002502,2015-01-22 16:00:00+00:00,POINT (2691487.145632524 224559.9068971173),0,1400 BLOCK RITNER ST,Girard Estates,1.0,White,Male,285868800.0,firearm,2015,19145.0
30,201522005394,2015-01-19 20:00:00+00:00,POINT (2687219.173146779 247131.3196860695),0,1700 BLOCK N 31ST ST,Strawberry Mansion,22.0,Black,Male,285624000.0,firearm,2015,19121.0
